"Strategy","Subnetwork","Contacts","Total_PUTA","PUTA/contact","Median_PUTA","Low_PUTA","High_PUTA","Total_PIA","PIA/contact","Median_PIA","Low_PIA","High_PIA"
"Size=5,D=0.005","small",17831,739285.720678625,41.460698821077,34.899135219779,0.68965905240743,118.624540091277,26,0.00145813470921429,0,0,0
"Size=5,D=0.005","large",21778,739285.720678625,33.9464469041521,27.6113104443065,0.577025087969854,86.8852702987678,26,0.00119386536872073,0,0,0
"Size=2,D=0.005","small",50737,2931557.76622539,57.779485705213,46.7655854030235,0,183.570348199831,177,0.00348857835504661,0,0,0
"Size=2,D=0.005","large",50697,2931557.76622539,57.8250737957945,46.9776468794237,0,185.101813795538,177,0.00349133084797917,0,0,0
"Growth,size=5,W=6mo,D=0.01","small",631,62553.0777833693,99.1332452985251,108.327262417769,26.9013797978587,285.110541889116,5,0.00792393026941363,0,0,0.0305614035087719
"Growth,size=5,W=6mo,D=0.01","large",816,62553.0777833693,76.6581835580506,85.9578860578066,22.5394107821253,179.282634759475,5,0.00612745098039216,0,0,0.0251285647498831
"Random,10%","-",39200,3221418.09649868,82.1790330739458,43.9806623544804,0,432.740467767508,171,0.00436224489795918,0,0,0
"RITA","-",31237,3994707.80841499,127.883849550693,110.625652918342,0,678.654281000768,336,0.0107564746934725,0,0,0
"Network,partners>4","-",379101,25520703.3752167,67.3190083255299,36.0230570750962,0,241.996669578813,1365,0.0036006235805234,0,0,0
"RITA+Secondary,W=6mo","small",58334,6109123.38487011,104.726632579115,90.549901021793,0,455.939842670392,2181,0.0373881441354956,0,0,0.132830188679245
"RITA+Secondary,W=6mo","large",45610,6109123.38487011,133.94263067025,113.927317436141,0,535.384630128754,2181,0.0478184608638456,0,0,0.181818181818182
