"Strategy","Subnetwork","Contacts","Total_PUTA","PUTA/contact","Median_PUTA","Low_PUTA","High_PUTA","Total_PIA","PIA/contact","Median_PIA","Low_PIA","High_PIA"
"Size=5,D=0.005","small",17831,739285.720678625,41.460698821077,34.899135219779,0.68965905240743,118.624540091277,26,0.00145813470921429,0,0,0
"Size=5,D=0.005","large",21778,739285.720678625,33.9464469041521,27.6113104443065,0.577025087969854,86.8852702987678,26,0.00119386536872073,0,0,0
"Size=2,D=0.005","small",50737,2931557.76622539,57.779485705213,46.7655854030235,0,183.570348199831,177,0.00348857835504661,0,0,0
"Size=2,D=0.005","large",50697,2931557.76622539,57.8250737957945,46.9776468794237,0,185.101813795538,177,0.00349133084797917,0,0,0
"Growth,size=5,W=6mo,D=0.01","small",631,62553.0777833693,99.1332452985251,108.327262417769,26.9013797978587,285.110541889116,5,0.00792393026941363,0,0,0.0305614035087719
"Growth,size=5,W=6mo,D=0.01","large",816,62553.0777833693,76.6581835580506,85.9578860578066,22.5394107821253,179.282634759475,5,0.00612745098039216,0,0,0.0251285647498831
"Random,10%","-",40348,3320814.04321163,82.3043036386347,42.9922758155353,0,434.1803767283,173,0.00428769703578864,0,0,0
"RITA","-",30666,3940794.15191344,128.506950756976,113.978249497365,0,691.816973957755,369,0.0120328702797887,0,0,0
"Network,partners>4","-",379101,25520703.3752167,67.3190083255299,36.0230570750962,0,241.996669578813,1365,0.0036006235805234,0,0,0
"RITA+Secondary,W=6mo","small",56887,6155567.27436232,108.206923802667,91.3534747699667,0,468.491868374521,2108,0.0370559178722731,0,0,0.125
"RITA+Secondary,W=6mo","large",44524,6155567.27436232,138.252791176946,116.338712206727,0,539.429388274031,2108,0.0473452519989219,0,0,0.176470588235294
