"simid","pia","puta","interventiontime","nc","sum_degrees","sum_excess","contacts_small","contacts_large","strategy"
"1608",0,365.505474063353,4570.35353212063,17,43.1285571579928,0,17,28.1285571579928,"Size=5,D=0.005"
"1614",0,0,2228.13199158795,4,11.1042283010295,2.06153711703405,6.06153711703405,9.1042283010295,"Size=5,D=0.005"
"2753",0,0,4768.51773684453,6,11.0163097370054,0,6,7.01630973700536,"Size=5,D=0.005"
"2797",0,0,3838.02111871453,7,12.3221137367556,0,7,7.32211373675555,"Size=5,D=0.005"
"2810",0,0,1636.79827287769,5,11.0101780041268,0,5,8.01017800412678,"Size=5,D=0.005"
"2872",0,93.702168505095,5852.94394478644,10,22.4495682828497,0,10,14.4495682828497,"Size=5,D=0.005"
"3369",0,567.376508930796,2077.15701360639,1,5.00007804873302,5.00007804873302,6.00007804873302,6.00007804873302,"Size=5,D=0.005"
"3638",0,0,7100.50054756407,7,18.0847614674749,0,7,13.0847614674749,"Size=5,D=0.005"
"4635",0,1202.7743946192,1717.73390780427,6,15.0227857923508,0,6,11.0227857923508,"Size=5,D=0.005"
"5088",0,0,3218.27419871894,5,14.0326866711082,0.00323551646457254,5.00323551646457,11.0326866711082,"Size=5,D=0.005"
"6104",0,0,3662.15114181222,4,9.0491450542044,0.0456753311345812,4.04567533113458,7.0491450542044,"Size=5,D=0.005"
"6628",0,1244.18611928098,4422.13539623626,14,26.5376533642445,0,14,14.5376533642445,"Size=5,D=0.005"
"6660",0,2662.94014391576,3280.30662865351,11,29.4512368623879,0,11,20.4512368623879,"Size=5,D=0.005"
"8427",0,0,3035.26068251582,7,16.4422764142427,0,7,11.4422764142427,"Size=5,D=0.005"
"8584",0,304.241944946988,3824.35585282149,6,14.0390621790957,0,6,10.0390621790957,"Size=5,D=0.005"
"8921",0,0,6261.69417568917,4,10.0521073165902,1.04363399520518,5.04363399520518,8.05210731659016,"Size=5,D=0.005"
"9589",1,1360.43495155251,4684.28116043417,8,19.1916743482645,0,8,13.1916743482645,"Size=5,D=0.005"
